N, Multimap_tree_based, unordered_multimap_hash_table
21210, 0.165705, 0.250351
21310, 0.144992, 0.220194
21410, 0.181003, 0.252571
21510, 0.157769, 0.23604
21610, 0.14238, 0.205543
21710, 0.137696, 0.202511
21810, 0.139636, 0.205074
21910, 0.13736, 0.1995
22010, 0.13862, 0.198974
22110, 0.135761, 0.198425
22210, 0.139114, 0.209818
22310, 0.138932, 0.205021
22410, 0.140633, 0.211929
22510, 0.138262, 0.204856
22610, 0.141907, 0.207762
22710, 0.144238, 0.215742
22810, 0.144166, 0.210024
22910, 0.142741, 0.215633
23010, 0.143298, 0.214829
23110, 0.143913, 0.217702
23210, 0.154218, 0.223695
23310, 0.147013, 0.224848
23410, 0.14514, 0.219288
23510, 0.15633, 0.240169
23610, 0.147636, 0.223911
23710, 0.152088, 0.231501
23810, 0.14832, 0.226089
23910, 0.14868, 0.22664
24010, 0.153855, 0.230004
24110, 0.155447, 0.230589
24210, 0.163285, 0.239034
24310, 0.154253, 0.237337
24410, 0.153284, 0.237665
24510, 0.156951, 0.232073
24610, 0.158102, 0.238506
24710, 0.157986, 0.242428
24810, 0.157192, 0.238201
24910, 0.157362, 0.248843
25010, 0.156351, 0.247777
25110, 0.156738, 0.24683
25210, 0.164168, 0.262975
25310, 0.163888, 0.25256
25410, 0.162658, 0.252844
25510, 0.166474, 0.257549
25610, 0.16482, 0.255496
25710, 0.162573, 0.255464
25810, 0.167894, 0.267217
25910, 0.167038, 0.26259
26010, 0.171489, 0.272375
26110, 0.173953, 0.284581
26210, 0.169193, 0.272708
26310, 0.166887, 0.268285
26410, 0.167166, 0.270402
26510, 0.17254, 0.27614
26610, 0.17521, 0.283508
26710, 0.168829, 0.281457
26810, 0.171029, 0.281726
26910, 0.171059, 0.283414
27010, 0.175981, 0.294966
27110, 0.168323, 0.282724
27210, 0.174445, 0.287759
27310, 0.1796, 0.291647
27410, 0.177102, 0.289751
27510, 0.176674, 0.302258
27610, 0.17584, 0.294008
27710, 0.174148, 0.298203
27810, 0.180235, 0.29907
27910, 0.182327, 0.311099
28010, 0.179048, 0.301926
28110, 0.184222, 0.308571
28210, 0.180203, 0.30642
28310, 0.185864, 0.310816
28410, 0.185919, 0.312297
28510, 0.187443, 0.314113
28610, 0.18888, 0.315079
28710, 0.178356, 0.310968
28810, 0.182703, 0.31993
28910, 0.184611, 0.327467
29010, 0.192205, 0.335893
29110, 0.185164, 0.314684
29210, 0.19176, 0.325883
29310, 0.186534, 0.326926
29410, 0.191295, 0.32968
29510, 0.191496, 0.326013
29610, 0.188487, 0.33924
29710, 0.191835, 0.330164
29810, 0.191603, 0.330857
29910, 0.196113, 0.338804
30010, 0.191735, 0.337814
30110, 0.200952, 0.350267
30210, 0.194566, 0.340876
30310, 0.197951, 0.346803
30410, 0.193935, 0.3467
30510, 0.200821, 0.352568
30610, 0.201666, 0.355717
30710, 0.198336, 0.346729
30810, 0.202775, 0.352573
30910, 0.20111, 0.358875
31010, 0.200152, 0.376402
31110, 0.20713, 0.367822
31210, 0.201421, 0.357826
31310, 0.212831, 0.370068
31410, 0.204299, 0.364917
31510, 0.206142, 0.369089
31610, 0.214091, 0.37624
31710, 0.218406, 0.381635
31810, 0.211959, 0.384073
31910, 0.213904, 0.398943
32010, 0.209267, 0.372081
32110, 0.211028, 0.384175
32210, 0.2088, 0.380426
32310, 0.209844, 0.390365
32410, 0.219851, 0.409415
32510, 0.216747, 0.403553
32610, 0.226329, 0.40364
32710, 0.214405, 0.395696
32810, 0.211926, 0.389992
32910, 0.222762, 0.422428
33010, 0.22533, 0.408274
33110, 0.2166, 0.408331
33210, 0.216163, 0.400169
33310, 0.232027, 0.437768
33410, 0.25902, 0.474783
33510, 0.230599, 0.434273
33610, 0.229477, 0.425424
33710, 0.22498, 0.416597
33810, 0.229392, 0.432401
33910, 0.234423, 0.430439
34010, 0.251538, 0.47151
34110, 0.231801, 0.434865
34210, 0.232616, 0.435566
34310, 0.240718, 0.446309
34410, 0.225811, 0.423477
34510, 0.234998, 0.45731
34610, 0.232653, 0.439662
34710, 0.230646, 0.438861
34810, 0.245281, 0.474228
34910, 0.226266, 0.433875
35010, 0.231399, 0.443215
35110, 0.236327, 0.45452
35210, 0.23077, 0.447045
35310, 0.240105, 0.462115
35410, 0.243572, 0.457225
35510, 0.238352, 0.462914
35610, 0.230712, 0.448451
35710, 0.240541, 0.452155
35810, 0.240025, 0.463343
35910, 0.236644, 0.462225
36010, 0.266791, 0.511593
36110, 0.302492, 0.561641
36210, 0.306209, 0.564502
36310, 0.264706, 0.494604
36410, 0.259732, 0.492027
36510, 0.240736, 0.478512
36610, 0.238787, 0.477072
36710, 0.24037, 0.488157
36810, 0.250846, 0.486163
36910, 0.249936, 0.4951
37010, 0.250576, 0.482102
37110, 0.251887, 0.503716
37210, 0.255771, 0.496614
37310, 0.249126, 0.494247
37410, 0.254977, 0.500908
37510, 0.249634, 0.49266
37610, 0.251568, 0.503086
37710, 0.263505, 0.515721
37810, 0.266906, 0.528132
37910, 0.255756, 0.511633
38010, 0.26031, 0.525567
38110, 0.256364, 0.52934
38210, 0.258653, 0.514684
38310, 0.257858, 0.511323
38410, 0.254878, 0.509095
38510, 0.258099, 0.526484
38610, 0.251767, 0.525714
38710, 0.255652, 0.538761
38810, 0.255236, 0.524678
38910, 0.261629, 0.520932
39010, 0.259534, 0.52796
39110, 0.276217, 0.541538
39210, 0.268356, 0.546317
