N,100,300,1000,2000,10000,50000
5000,0.003798,0.003547,0.003477,0.003475,0.044453,0.04407
10000,0.177936,0.011808,0.011975,0.011991,0.056403,0.22228
15000,0.400109,0.025977,0.026413,0.02636,0.082295,0.618119
20000,0.707947,0.045114,0.046203,0.045365,0.127642,1.33833
25000,1.09923,0.072303,0.071609,0.071697,0.199534,2.44403
30000,1.60352,0.103235,0.104636,0.102506,0.301884,4.04326
35000,2.1671,0.13921,0.138443,0.138402,0.440431,6.22515
40000,2.82785,0.177309,0.177844,0.176965,0.61787,9.05295
45000,3.60776,0.229924,0.229976,0.231431,0.846582,12.6529
50000,4.45144,0.287116,0.280435,0.281161,1.12666,12.9345
55000,5.36749,0.33615,0.335132,0.335513,1.46564,13.2709
60000,6.40861,0.399122,0.421847,0.399726,1.86964,13.673
65000,7.81907,0.517893,0.527337,0.538694,2.37114,14.1602
70000,9.07122,0.555058,0.552061,0.553101,2.93391,14.7175
75000,10.0376,0.637129,0.64076,0.674848,3.58823,15.3629
80000,11.5241,0.711059,0.710881,0.713437,4.31666,16.0918
85000,13.1789,0.819571,0.822591,0.816858,5.1364,16.9084
90000,14.3965,0.903832,0.923691,0.909642,6.07039,17.812
95000,16.236,1.0058,1.00388,1.00514,7.07202,18.8117
100000,17.9057,1.11531,1.11054,1.10945,8.19521,19.9248
105000,19.7486,1.23219,1.23609,1.22829,9.42901,21.1554
110000,21.5496,1.39003,1.31367,1.3639,10.8315,22.5632
115000,23.5438,1.44259,1.44567,1.43917,12.2645,23.9931
120000,25.6335,1.56921,1.56916,1.61645,13.9039,25.6564
125000,28.6615,1.89168,1.92937,1.77186,15.6975,27.4401
130000,31.6611,1.94342,1.9616,1.94412,17.639,29.3836
135000,33.327,2.07457,2.07691,2.06795,19.7059,31.4471
140000,36.119,2.33667,2.3346,2.25573,21.9673,33.7032
145000,39.913,2.50439,2.66222,2.52882,24.4617,36.1637
150000,42.8575,2.51849,2.76762,2.81655,27.0537,38.8764
155000,43.0641,2.71473,3.07141,2.75936,30.4516,42.0167
160000,45.4128,2.84024,2.83596,2.84095,33.2886,44.848
165000,49.0074,3.03086,3.0198,3.02854,36.3162,47.9565
170000,52.0417,3.41774,3.18729,3.20769,39.5031,51.1421
175000,53.6309,3.38525,3.35891,3.38318,42.8798,54.4812
180000,56.0488,3.49817,3.48452,3.47668,46.3799,57.9662
185000,104.147,3.58283,4.4215,4.59406,50.4522,61.8203
195000,76.8671,4.56429,4.77041,4.89019,59.2599,71.0576
200000,81.1224,4.9133,5.0872,5.20336,64.5339,76.343
205000,85.2377,5.13267,5.22016,5.33782,70.0486,81.8666
210000,97.8976,7.05184,6.59359,6.81794,77.2032,88.739
215000,116.441,7.13856,7.13891,7.12489,84.1184,96.1893
220000,125.727,7.5038,7.78402,7.9998,92.0742,103.721
225000,131.621,8.19087,8.19533,8.19136,100.199,111.698
230000,139.531,8.59504,8.58981,8.79401,108.986,120.288
235000,147.263,8.95275,9.0395,9.38,117.955,129.241
240000,154.243,9.78526,9.64516,10.2179,127.608,138.963
260000,118.836,7.68869,7.60242,7.48425,283.049,190.902
265000,125.786,7.6518,7.66267,7.72227,290.839,198.561
270000,127.808,8.02021,8.01653,8.16061,299.668,206.923
275000,136.064,8.41496,8.19121,8.38168,308.18,215.509
280000,138.368,8.55725,8.58033,8.66658,316.937,224.154
285000,145.205,9.53458,9.50597,9.39275,326.431,233.533
290000,153.449,9.87603,9.62026,9.63354,336.198,243.593
295000,162.708,9.91915,10.2352,9.88149,346.44,253.582
300000,168.431,10.4008,10.102,10.1087,356.485,263.67
305000,170.305,11.0308,11.0906,10.7868,366.997,274.306
310000,175.411,10.8896,10.791,10.9407,377.913,285.358
315000,179.292,11.0793,11.2516,11.4125,389.068,296.916
320000,186.574,11.5238,11.5162,11.5122,400.624,308.419
325000,190.14,11.8669,11.8978,11.8868,412.492,320.41
330000,198.035,12.2354,12.1491,12.1781,424.768,332.576
335000,203.446,12.9177,12.9804,12.6925,437.415,345.113
340000,210.033,13.55,13.2867,12.9282,450.339,358.073
345000,218.748,13.5635,13.5787,13.246,463.73,371.378
350000,224.354,14.1995,13.9101,13.9485,477.639,385.248
355000,232.273,14.3574,14.3101,14.3854,492.128,399.896
360000,238.741,14.903,14.8183,15.1775,507.294,415.358
365000,252.988,15.7141,15.6462,16.0664,523.107,430.716
370000,263.293,17.8917,17.0217,16.3442,538.832,446.413
375000,262.733,16.3257,16.4122,16.4183,555.11,463.191
380000,261.551,16.2171,16.2057,16.2466,571.33,479.402
385000,304.295,19.7465,19.4171,18.4063,593.855,509.74
390000,403.671,24.9534,24.8338,28.44,619.827,535.301
400000,383.65,24.7243,26.4765,25.6396,666.107,579.506
405000,422.221,18.7801,18.4948,18.2786,684.081,597.686
