N, Insertion, Merge, Hybrid
5, 7.9e-05, 0.000498, 6.3e-05
25, 0.00023, 0.003128, 0.000511
45, 0.000533, 0.006698, 0.001567
65, 0.000944, 0.008904, 0.00225
85, 0.001532, 0.013473, 0.003951
105, 0.002259, 0.01563, 0.00452
125, 0.003199, 0.017839, 0.005303
145, 0.004083, 0.022427, 0.006457
165, 0.005815, 0.033138, 0.011294
185, 0.007122, 0.034773, 0.011586
205, 0.010145, 0.048231, 0.015743
225, 0.009726, 0.036037, 0.012513
245, 0.011234, 0.036735, 0.012844
265, 0.013706, 0.044089, 0.015937
285, 0.015243, 0.046823, 0.016429
305, 0.017333, 0.050543, 0.017921
325, 0.01982, 0.056043, 0.022769
345, 0.021673, 0.056131, 0.0224
365, 0.024416, 0.061309, 0.024408
385, 0.02755, 0.065013, 0.025379
405, 0.029974, 0.066313, 0.026333
425, 0.033025, 0.066846, 0.026506
445, 0.037238, 0.074887, 0.030001
465, 0.039438, 0.073423, 0.029906
485, 0.042903, 0.077898, 0.031195
505, 0.046786, 0.080013, 0.032644
525, 0.050713, 0.088904, 0.038026
545, 0.053843, 0.09131, 0.037579
565, 0.057044, 0.093662, 0.038401
585, 0.061207, 0.097479, 0.039893
605, 0.064777, 0.102291, 0.041428
625, 0.0688, 0.105219, 0.045935
645, 0.074192, 0.109791, 0.048695
665, 0.079569, 0.111982, 0.04994
685, 0.084029, 0.115688, 0.051586
705, 0.087536, 0.119009, 0.052256
725, 0.09466, 0.123014, 0.053931
745, 0.100037, 0.129714, 0.057148
765, 0.110311, 0.14072, 0.061338
785, 0.111625, 0.138056, 0.059668
805, 0.115694, 0.133911, 0.058664
825, 0.120563, 0.1364, 0.060106
845, 0.128493, 0.139497, 0.062921
865, 0.131859, 0.140047, 0.063807
885, 0.140887, 0.149742, 0.067547
905, 0.148352, 0.149641, 0.068723
925, 0.150684, 0.147567, 0.06812
945, 0.157417, 0.149627, 0.069823
965, 0.16432, 0.150968, 0.070573
985, 0.170263, 0.152898, 0.072941
1005, 0.180143, 0.157106, 0.074833
1025, 0.184625, 0.160173, 0.077408
1045, 0.195876, 0.177052, 0.086606
1065, 0.200679, 0.179049, 0.087173
1085, 0.20584, 0.184836, 0.087061
1105, 0.21601, 0.189184, 0.091241
1125, 0.222422, 0.192626, 0.089211
1145, 0.23157, 0.197306, 0.092724
1165, 0.23813, 0.205053, 0.094539
1185, 0.247241, 0.204654, 0.094417
1205, 0.255579, 0.211711, 0.097756
1225, 0.26445, 0.215649, 0.101712
1245, 0.272502, 0.216677, 0.10181
1265, 0.28155, 0.220977, 0.107309
1285, 0.288344, 0.22413, 0.10977
1305, 0.297139, 0.23113, 0.111289
1325, 0.307393, 0.230255, 0.112844
1345, 0.317799, 0.234291, 0.115391
1365, 0.325198, 0.237354, 0.116138
1385, 0.342788, 0.247374, 0.120675
1405, 0.346568, 0.243643, 0.119588
1425, 0.35743, 0.247291, 0.12274
1445, 0.365469, 0.249404, 0.121381
1465, 0.376225, 0.253394, 0.123211
1485, 0.384637, 0.256822, 0.125838
1505, 0.396794, 0.258726, 0.127758
1525, 0.409995, 0.264167, 0.129618
1545, 0.417067, 0.265178, 0.129413
1565, 0.429795, 0.268396, 0.132393
1585, 0.443159, 0.272076, 0.134476
1605, 0.450915, 0.273963, 0.135452
1625, 0.463962, 0.275094, 0.137543
1645, 0.472314, 0.2768, 0.137316
1665, 0.485857, 0.280843, 0.141015
1685, 0.497064, 0.28296, 0.142709
1705, 0.50859, 0.284942, 0.144431
1725, 0.522399, 0.287425, 0.145975
1745, 0.534277, 0.291127, 0.147322
1765, 0.550165, 0.299183, 0.153725
1785, 0.558077, 0.299388, 0.151462
1805, 0.570699, 0.29653, 0.154465
1825, 0.580645, 0.302545, 0.157546
1845, 0.595572, 0.301702, 0.155972
1865, 0.608263, 0.303635, 0.156512
1885, 0.624675, 0.309505, 0.162527
1905, 0.634653, 0.311017, 0.163648
1925, 0.650889, 0.31347, 0.164837
1945, 0.66013, 0.313528, 0.16762
1965, 0.672028, 0.316184, 0.167615
1985, 0.691297, 0.31954, 0.171824
2005, 0.708196, 0.322606, 0.171537
2025, 0.720017, 0.324815, 0.17598
2045, 0.733536, 0.326159, 0.175721
2065, 0.74413, 0.346326, 0.189258
2085, 0.760505, 0.352427, 0.192918
2105, 0.774655, 0.359811, 0.198337
2125, 0.790064, 0.366172, 0.201429
2145, 0.80863, 0.376072, 0.200598
2165, 0.819865, 0.380135, 0.206513
2185, 0.835492, 0.382124, 0.207224
2205, 0.868071, 0.403567, 0.212244
2225, 0.910392, 0.432241, 0.22747
2245, 0.893313, 0.405532, 0.219604
2265, 0.918613, 0.421086, 0.221657
2285, 0.935254, 0.429904, 0.224631
2305, 0.928259, 0.415237, 0.219496
2325, 0.957956, 0.43041, 0.224849
2345, 0.973236, 0.425073, 0.226983
2365, 0.994702, 0.436343, 0.23571
2385, 0.998215, 0.429536, 0.227235
2405, 1.02665, 0.441489, 0.23666
2425, 1.04199, 0.443858, 0.235196
2445, 1.0622, 0.45347, 0.239544
2465, 1.07808, 0.452733, 0.243244
2485, 1.0958, 0.458414, 0.243584
2505, 1.13034, 0.479277, 0.248183
2525, 1.11923, 0.45766, 0.243956
2545, 1.1462, 0.47135, 0.250515
2565, 1.16493, 0.470046, 0.251422
2585, 1.17754, 0.468575, 0.2511
2605, 1.2137, 0.483678, 0.259146
2625, 1.23429, 0.492888, 0.258827
2645, 1.31037, 0.536718, 0.283476
2665, 1.29575, 0.520483, 0.272451
2685, 1.39184, 0.575777, 0.306392
2705, 1.48532, 0.612457, 0.31681
2725, 1.39328, 0.547248, 0.282979
2745, 1.38061, 0.523818, 0.280915
2765, 1.36264, 0.508923, 0.270568
2785, 1.3697, 0.508791, 0.272951
2805, 1.41906, 0.529461, 0.285843
2825, 1.53575, 0.587327, 0.306956
2845, 1.49719, 0.560418, 0.29581
2865, 1.50501, 0.553632, 0.29439
2885, 1.48607, 0.541714, 0.290051
2905, 1.50815, 0.535026, 0.284861
2925, 1.52544, 0.539063, 0.291289
2945, 1.53401, 0.539899, 0.289193
2965, 1.52565, 0.531072, 0.28414
2985, 1.57668, 0.544743, 0.290833
3005, 1.58787, 0.54067, 0.288668
3025, 1.66335, 0.573915, 0.305255
3045, 1.70159, 0.576008, 0.315143
3065, 1.72138, 0.58144, 0.316392
3085, 1.70542, 0.572729, 0.311538
3105, 1.75729, 0.590125, 0.320247
3125, 1.76282, 0.57823, 0.322351
3145, 1.77695, 0.576639, 0.311589
3165, 1.76565, 0.569655, 0.310529
3185, 1.7916, 0.578003, 0.312142
3205, 1.82274, 0.576993, 0.314234
3225, 1.83899, 0.578037, 0.3215
3245, 1.87344, 0.58402, 0.320884
3265, 1.94199, 0.609643, 0.336273
3285, 1.92734, 0.591896, 0.324194
3305, 1.94033, 0.588904, 0.329149
3325, 1.95296, 0.58999, 0.327993
3345, 1.97983, 0.590891, 0.327573
3365, 2.01059, 0.59743, 0.335737
3385, 2.06349, 0.615732, 0.34321
3405, 2.07993, 0.611725, 0.343443
3425, 2.06993, 0.605577, 0.342761
3445, 2.09658, 0.607224, 0.341954
3465, 2.19714, 0.646931, 0.359926
3485, 2.15584, 0.614533, 0.343134
3505, 2.17437, 0.617051, 0.351876
3525, 2.19321, 0.61836, 0.34871
3545, 2.21869, 0.621733, 0.347732
3565, 2.24108, 0.621435, 0.353885
3585, 2.2639, 0.626967, 0.361824
3605, 2.30655, 0.623245, 0.360263
3625, 2.33011, 0.635851, 0.355247
3645, 2.34772, 0.633097, 0.367282
3665, 2.40862, 0.641885, 0.371122
3685, 2.41397, 0.638067, 0.367979
3705, 2.42718, 0.637436, 0.370734
3725, 2.46173, 0.644568, 0.373884
3745, 2.47401, 0.649289, 0.377314
3765, 2.50164, 0.647934, 0.375423
3785, 2.5383, 0.648443, 0.38125
3805, 2.56144, 0.650473, 0.376852
3825, 2.60461, 0.655784, 0.388241
3845, 2.65658, 0.671416, 0.392122
3865, 2.64784, 0.662727, 0.393159
3885, 2.72771, 0.683799, 0.399994
3905, 2.77158, 0.688249, 0.408675
3925, 2.76894, 0.688759, 0.404559
