N, Insertion, Merge, Hybrid
3945, 2.82474, 0.68746, 0.408167
3965, 2.79591, 0.677858, 0.405246
3985, 2.85792, 0.692582, 0.410189
4005, 2.85313, 0.680785, 0.401176
4025, 2.86064, 0.680183, 0.415581
4045, 2.90578, 0.683175, 0.403116
4065, 2.91975, 0.686075, 0.408924
4085, 2.94195, 0.686813, 0.41881
4105, 2.97551, 0.709071, 0.431504
4125, 3.01959, 0.735899, 0.457729
4145, 2.98341, 0.721244, 0.439494
4165, 2.9921, 0.72727, 0.438647
4185, 3.06555, 0.741933, 0.460369
4205, 3.09293, 0.751506, 0.456897
4225, 3.10317, 0.750811, 0.45661
4245, 3.12643, 0.757526, 0.461352
4265, 3.16926, 0.76832, 0.469493
4285, 3.22582, 0.783544, 0.473747
4305, 3.227, 0.78012, 0.471587
4325, 3.2757, 0.787074, 0.479746
4345, 3.2654, 0.781083, 0.469495
4365, 3.26193, 0.780289, 0.474203
4385, 3.36853, 0.815091, 0.488684
4405, 3.40626, 0.812816, 0.48608
4425, 3.44087, 0.817772, 0.487787
4445, 3.45229, 0.816857, 0.480478
4465, 3.48981, 0.825287, 0.486741
4485, 3.52642, 0.829374, 0.501945
4505, 3.56436, 0.832058, 0.501019
4525, 3.58119, 0.841057, 0.495525
4545, 3.60877, 0.84112, 0.502292
4565, 3.63755, 0.853163, 0.505409
4585, 3.64981, 0.85169, 0.49532
4605, 3.69521, 0.855738, 0.515733
4625, 3.73463, 0.860568, 0.518704
4645, 3.76531, 0.864083, 0.526745
4665, 3.9028, 0.904141, 0.539373
4685, 3.86239, 0.882794, 0.529241
4705, 3.89372, 0.88165, 0.524101
4725, 3.8821, 0.870526, 0.52743
4745, 3.98079, 0.895605, 0.533036
4765, 4.37445, 1.02548, 0.61722
4785, 4.15878, 0.949083, 0.558961
4805, 4.23121, 0.96835, 0.581033
4825, 4.22189, 0.937649, 0.556155
4845, 4.27201, 0.961058, 0.57682
4865, 4.19875, 0.922184, 0.556151
4885, 4.17361, 0.905682, 0.547169
4905, 4.20682, 0.917058, 0.552752
4925, 4.27732, 0.931891, 0.542601
4945, 4.31105, 0.937871, 0.55177
4965, 4.32741, 0.93261, 0.550425
4985, 4.36681, 0.939166, 0.544453
